"Name","Team","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Matt Wisler","Braves","60.4 %","93.0","26.6 %","82.1","","","5.7 %","76.8","7.4 %","86.9","","","","","0.6 %","12804"
"Jason Grilli","- - -","63.9 %","93.0","34.3 %","81.2","","","","","1.8 %","84.6","","","","","0.4 %","521"
"Cody Anderson","Indians","56.9 %","93.0","8.4 %","89.0","2.6 %","90.9","7.6 %","80.8","24.5 %","84.6","","","","","0.6 %","12799"
"Chris Bassitt","Athletics","57.1 %","93.0","19.9 %","85.3","","","15.6 %","71.3","7.4 %","83.2","","","","","0.1 %","12304"
"Robbie Ross Jr.","Red Sox","57.3 %","92.9","22.5 %","86.9","","","20.2 %","78.1","","","","","","","0.6 %","6819"
"Shawn Tolleson","Rangers","65.2 %","92.9","16.3 %","83.6","2.3 %","88.8","","","16.1 %","80.4","","","","","1.4 %","10481"
"Ryan Mattheus","- - -","77.1 %","92.9","13.6 %","84.6","1.9 %","89.7","","","","","7.4 %","83.3","","","0.6 %","7169"
"Michael Blazek","Brewers","48.2 %","92.9","26.8 %","82.7","","","25.0 %","77.1","0.1 %","84.0","","","","","0.8 %","9654"
"Kirby Yates","- - -","58.7 %","92.9","27.7 %","84.6","","","8.6 %","77.7","5.1 %","83.8","","","","","0.3 %","9073"
"J.J. Hoover","- - -","65.8 %","92.9","16.3 %","84.5","","","14.1 %","75.2","3.8 %","87.3","","","","","0.5 %","9037"
"Matt Thornton","- - -","72.4 %","92.9","14.3 %","83.6","","","","","13.4 %","86.4","","","","","1.4 %","1918"
"Sonny Gray","Athletics","60.9 %","92.9","14.4 %","85.7","3.1 %","91.0","14.7 %","81.1","7.0 %","87.6","","","","","0.0 %","12768"
"Joe Ross","Nationals","54.7 %","92.9","37.6 %","83.9","","","","","7.8 %","87.2","","","","","0.3 %","12972"
"Carson Smith","- - -","49.0 %","92.9","44.6 %","85.0","","","","","6.4 %","88.3","","","","","1.8 %","13172"
"Casey Fien","- - -","52.7 %","92.9","8.2 %","78.7","39.1 %","88.3","","","","","","","","","0.5 %","3926"
"Tyson Ross","Padres","52.0 %","92.8","41.6 %","86.4","6.0 %","90.4","","","0.4 %","88.1","","","","","0.4 %","7872"
"Jesse Hahn","Athletics","68.1 %","92.8","3.8 %","82.0","","","18.5 %","75.1","9.6 %","84.8","","","","","0.4 %","13287"
"Boone Logan","- - -","47.4 %","92.8","52.5 %","82.8","","","","","0.2 %","86.3","","","","","1.6 %","5525"
"Shane Greene","Tigers","47.3 %","92.8","14.1 %","81.5","32.1 %","87.9","1.3 %","79.0","5.2 %","85.4","","","","","0.9 %","10756"
